Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal ,Descripcio_dia_setmana,Dia_setmana,Descripcio_tipus_dia,Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_mediata,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2018S001134    ,3,Sants-Montjuïc,11,el Poble-sec,198804,Tamarit / Paral·lel                               ,,Dissabte,Ds,Laboral,2018,2,Febrer,10,18,Tarda,No hi ha causa mediata,429551.99 ,4580933.23,2.156432,41.374991
2018S006415    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,32700,Balmes / Còrsega                                  ,,Dimecres,Dc,Laboral,2018,8,Agost,22,20,Tarda,No hi ha causa mediata,429554.34 ,4583063.6 ,2.156212,41.394178
2018S004498    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,90502,Còrsega / Balmes                                  ,,Dimecres,Dc,Laboral,2018,6,Juny,13,11,Matí,No hi ha causa mediata,429554.34 ,4583063.6 ,2.156212,41.394178
2018S002898    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,32700,Balmes / Còrsega                                  ,,Dilluns,Dl,Laboral,2018,4,Abril,16,15,Tarda,No hi ha causa mediata,429554.34 ,4583063.6 ,2.156212,41.394178
2018S006660    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,32700,Balmes / Còrsega                                  ,,Dilluns,Dl,Laboral,2018,9,Setembre,3,10,Matí,No hi ha causa mediata,429554.34 ,4583063.6 ,2.156212,41.394178
2018S005133    ,2,Eixample,7,la Dreta de l'Eixample,90502,Balmes / Còrsega                                  ,,Dimarts,Dm,Laboral,2018,7,Juliol,3,20,Tarda,No hi ha causa mediata,429554.34 ,4583063.6 ,2.156212,41.394178
2018S002784    ,2,Eixample,7,la Dreta de l'Eixample,32700,Balmes / Còrsega                                  ,,Dijous,Dj,Laboral,2018,4,Abril,12,2,Nit,No hi ha causa mediata,429554.34 ,4583063.6 ,2.156212,41.394178
2018S003066    ,2,Eixample,10,Sant Antoni,323203,Sepúlveda / Calàbria                              ,,Dissabte,Ds,Laboral,2018,4,Abril,21,2,Nit,No hi ha causa mediata,429555.55 ,4581336.38,2.156427,41.378622
2018S009788    ,7,Horta-Guinardó,37,el Carmel,181801,Lugo / Conca de Tremp                             ,,Dissabte,Ds,Laboral,2018,12,Desembre,22,15,Tarda,No hi ha causa mediata,429557.37 ,4586269.57,2.155875,41.423053
2018S003281    ,3,Sants-Montjuïc,12,la Marina del Prat Vermell,139000,Litoral (Besòs)                                   ,K141      ,Divendres,Dv,Laboral,2018,4,Abril,27,22,Nit,Alcoholèmia,429560.28 ,4578433.34,2.156821,41.352475
2018S000054    ,3,Sants-Montjuïc,12,la Marina del Prat Vermell,701265,Litoral (Besòs)                                   ,K141      ,Dimecres,Dc,Laboral,2018,1,Gener,3,17,Tarda,No hi ha causa mediata,429560.28 ,4578433.34,2.156821,41.352475
2018S002715    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,191204,Mallorca                                          ,179,Dilluns,Dl,Laboral,2018,4,Abril,9,19,Tarda,No hi ha causa mediata,429561.14 ,4582521.71,2.156356,41.389298
2018S004997    ,6,Gràcia,31,la Vila de Gràcia,182000,Luis Antúnez                                      ,1,Divendres,Dv,Laboral,2018,6,Juny,29,0,Nit,No hi ha causa mediata,429562.15 ,4583589.43,2.156244,41.398915
2018S009727    ,3,Sants-Montjuïc,11,el Poble-sec,198804,Paral·lel                                         ,163,Dijous,Dj,Laboral,2018,12,Desembre,20,11,Matí,No hi ha causa mediata,429562.52 ,4580913.73,2.15656,41.374816
2018S000102    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,18505,Aragó                                             ,148-150   ,Divendres,Dv,Laboral,2018,1,Gener,5,15,Tarda,No hi ha causa mediata,429564.28 ,4582120.18,2.156441,41.385682
2018S005409    ,7,Horta-Guinardó,37,el Carmel,321809,Segimon                                           ,14,Dijous,Dj,Laboral,2018,7,Juliol,12,21,Tarda,No hi ha causa mediata,429565.43 ,4586028.57,2.155999,41.420884
